DATE,TCP_Number,ESTC_Number,AUTHOR,PUBLISHER,WORD COUNT,TITLE,,,,,,,,
1730,K040168.000,T40185,Doddridge Philip 1702-1751,London : printed for Richard Hett at the Bible and Crown in the Poultry near Cheapside,10840,FREE THOUGHTS ON THE Most Probable MEANS of Reviving THE DISSENTING INTEREST.,,,,,,,,
1725,K043640.000,T46205,Berkeley George 1685-1753,Dublin : printed by R. Reilly on Cork-Hill for G. Risk G. Ewing and W. Smith Booksellers in,9802,THE QUERIST CONTAINING Several QUERIES Proposed to the CONSIDERATION OF THE PUBLIC.,,,,,,,,
1790,K043880.000,T46573,Burke Edmund 1729-1797,London : printed for J. Dodsley in Pall-Mall,93902,REFLECTIONS ON THE REVOLUTION IN FRANCE AND ON THE PROCEEDINGS IN CERTAIN SOCIETIES IN LONDON RELATIVE TO THAT EVENT.,,,,,,,,
1795,K044551.000,T47580,Paley William 1743-1805,London : printed for R. Faulder new Bond-Street,3750,A SERMON PREACHED AT THE ASSIZES AT DURHAM JULY 29th 1795; AND PUBLISHED AT THE REQUEST OF The LORD BISHOP The Honorable the JUDGES of Assize And the GRAND JURY;,,,,,,,,
1732,K044692.000,T47748,Berkeley George 1685-1753,London : printed by J. Downing in Bartholomew-Close near West-Smithfield,6292,A SERMON Preached before the Incorporated SOCIETY FOR THE Propagation of the Gospel in Foreign Parts; AT THEIR ANNIVERSARY MEETING IN THE Parish-Church of St Mary-le-Bow On FRIDAY February 18. 1731.,,,,,,,,
1787,K046227.000,T50177,Cugoano Ottobah,London : [s.n.],44995,THOUGHTS AND SENTIMENTS ON THE EVIL AND WICKED TRAFFIC OF THE SLAVERY AND COMMERCE OF THE HUMAN SPECIES HUMBLY SUBMITTED TO The INHABITANTS of GREAT-BRITAIN BY OTTOBAH CUGOANO A NATIVE of AFRICA.,,,,,,,,
1792,K046614.000,T50903,Wollstonecraft Mary 1759-1797,London : printed for J. Johnson No 72 St. Paul's Church Yard,87083,A VINDICATION OF THE RIGHTS OF WOMAN: WITH STRICTURES ON POLITICAL AND MORAL SUBJECTS.,,,,,,,,
1793,K046809.000,T51439,Famine Citizen,[London s.n.,1305,LE TOCSIN! OR THE ADDRESS OF CITIZEN FAMINE!!! TO THE OPPRESSORS OF HIS COUNTRY.,,,,,,,,
1707,K049641.000,T55737,,London : printed for William Carter at the Green Dragon in St. Paul's Church-Yard,9512,THE BLACK ART Detected and Expos'd: OR A DEMONSTRATION OF THE HELLISH IMPIETY OF Being or desiring to Be a Wizzard Conjurer or Witch.,,,,,,,,
1765,K054680.002,T63190,Walpole Horace 1717-1797,[Twickenham] : Printed by Thomas Kirgate at Strawberry-Hill,67442,ANECDOTES OF PAINTING in ENGLAND; With some Account of the principal Artists; And incidental NOTES on other ARTS;,,,,,,,,
1765,K054680.003,T63190,Walpole Horace 1717-1797,[Twickenham] : Printed by Thomas Kirgate at Strawberry-Hill,46401,ANECDOTES OF PAINTING in ENGLAND; With some Account of the principal Artists; And incidental NOTES on other ARTS;,,,,,,,,
1764,K054688.000,T63198,Walpole Horace 1717-1797,London : printed for Tho. Lownds,35038,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,,,,,,,,
1705,K056026.000,T65046,Rowlands Henry 1655-1723,London : printed by W. Botham for James Knapton at the Crown in St. Paul's Church-Yard,16197,AN ACCOUNT OF THE Origin and Formation OF FOSSIL-SHELLS &amp;c.,,,,,,,,
1735,K059055.000,T69163,Walton Jacob d. 1743,Dublin : printed by S. Powell for William Smith at the Hercules Bookseller in Dame-Street,4646,THE CATECHISM OF THE AUTHOR OF THE MINUTE PHILOSOPHER FULLY ANSWER'D.,,,,,,,,
1710,K059636.000,T70119,Bateson Peter,[London?] : Printed in the year,10363,SOME PAPERS Relating to the General Draining OF MARSH-LAND IN THE County of Norfolk.AN ANSWER TO SOME OBJECIONS OF HATTON BERNERSEsq Against a PAPER Intit'led Some REMARKS Concerning the OUTFALS of the Country OF MARSH-LAND &amp;c.,,,,,,,,
1721,K059793.000,T70314,Defoe Daniel 1661?-1731,London : printed for and sold by W. Chetwood at Cato's-Head in Russel-Street Covent-Garden ;,132845,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &amp;c.,,,,,,,,
1752,K060946.001,T71886,Lennox Charlotte ca. 1729-1804,London : printed for A. Millar over-against Catharine-Street in the Strand,67537,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. I.,,,,,,,,
1752,K060946.002,T71886,Lennox Charlotte ca. 1729-1804,London : printed for A. Millar over-against Catharine-Street in the Strand,77144,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,,,,,,,,
1719,K061280.000,T72264,Defoe Daniel 1661?-1731,London : printed for W. Taylor at the Ship in Pater-Noster-Row.,117390,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,,,,,,,,
1718,K062837.000,T74576,Addison Joseph 1672-1719,London : printed for J. Tonson at Shakespear's-Head over against Katharine-Street in the Stran,75338,REMARKS ON SEVERAL PARTS OF ITALY &amp;c. In the Years 1701 1702 1703.,,,,,,,,
1715,K063086.000,T75092,Berkeley George 1685-1753,London : printed by R. Baldwin; and sold by R. Burleigh in Amen-Corner,2561,ADVICE TO THE TORIES Who have Taken the OATHS.,,,,,,,,
1792,K064501.000,T77434,Paley William 1743-1805,Carlisle : printed by F. Jollie. -,4061,REASONS FOR CONTENTMENT; ADDRESSED TO The Labouring Part OF THE BRITISH PUBLIC.,,,,,,,,
1710,K064766.000,T77986,Berkeley George 1685-1753,Dublin : printed by Aaron Rhames for Jeremy Pepyat Bookseller in Skinner-Row,36231,A TREATISE Concerning the PRINCIPLES OF Human Knowlege.,,,,,,,,
1735,K065604.000,T79309,Jurin James 1684-1750,London : printed for T. Cooper,21630,The MINUTE MATHEMATICIAN: OR The Free-Thinker no Just-Thinker. Set forth in A Second LETTER TO THE Author of the ANALYST; CONTAINING A Defence of Sir ISAAC NEWTON And the British Mathematicians Against a late Pamphlet entituled A Defence of Free-Thinking in Mathematicks.,,,,,,,,
1790,K066227.000,T80551,Paley William 1743-1805,London : printed by J. Davis for R. Faulder New Bond-Street,74047,HORAE PAULINAE OR THE TRUTH OF THE SCRIPTURE HISTORY OF ST. PAUL EVINCED BY A COMPARISON OF THE EPISTLES WHICH BEAR HIS NAME WITH THE ACTS OF THE APOSTLES AND WITH ONE ANOTHER.,,,,,,,,
1706,K067329.000,T82397,Watts Isaac 1674-1748,London : printed by S. and D. Bridge for John Lawrence,28354,HORAE LYRICAE.,,,,,,,,
1704,K068010.000,T83424,,London : printed for W.B. and to be sold by most booksellers in London and Westminster,38656,ARISTOTLE's MASTER-PIECE: OR THE Secrets of Generation Display'd in all the Parts thereof; CONTAINING 1. The Signs of Barrenness. 2. The way of getting a Boy or Girl. 3. Of the likeness of Children to Parents. 4 Of the Infusion of the Soul into the Infant. 5. Of monstrous Births and the Reasons thereof. 6. Of the benefit of Marriage to both Sexes. 7 The Prejudice of unequal Matches. 8. The discovery of Insufficiency. 9. The cause and cure of the Green-sickness. 10 A Discourse of Virginity. 11. How a Midwife ought to be qualified. 12. Directions and Cautions to Midwives. 13. Of the Organs of Generation in Women. 14. The Fabrick of the Womb 15 The use and action of the Genitals. 16. Signs of Conception and whether of a Male or Female 17. To discover false Conception. 18 Instructions for Women with Child. 19. For preventing Miscarriage 20. For Women in Childbed 21. Of ordering new-born Infants; and many other very useful Particulars To which is added A word of Advice to both Sexes in the Act of Copulation and the Pictures of several Monstreus Births.,,,,,,,,
1734,K072976.000,T89867,Fielding Henry 1707-1754,London : printed for J. Watts at the Printing-Office in Wild-Court near Lincoln's-Inn Fields,16510,DON QUIXOTE IN ENGLAND. A COMEDY. As it is Acted at the NEW THEATRE in the Hay-Market.,,,,,,,,
1718,K074843.000,T92533,Banyer Henry fl. 1718-1736,London : printed for T. Warner at the Black-Boy in Pater-Noster-Row,12992,Pharmacopoeia Pauperum.,,,,,,,,
1744,K075014.000,T92782,Berkeley George 1685-1753,[London] : Dublin printed London re-printed for M. Cooper at the Globe in Pater-Noster-Row,5124,A LETTER TO T PEsq FROM THE AUTHOR of SIRIS.,,,,,,,,
1800,K077856.000,T96678,Malthus T.R. (Thomas Robert) 1766-1834,London : printed for J. Johnson in St. Paul's-Church-Yard by Davis Taylor and Wilks Chancer,5886,AN INVESTIGATION OF The Cause OF THE PRESENT HIGH PRICE OF PROVISIONS.,,,,,,,,
1793,K087560.000,T109049,Hudibras Hugh,[London?] : Printed by W. Browne (for the author) and sold by all the booksellers,3166,THE LEVELLERS; OR Satan's Privy-Council.,,,,,,,,
1735,K088215.000,T109901,Berkeley George 1685-1753,London : printed for J. Tonson,13798,A DEFENCE OF Free-Thinking IN MATHEMATICS.,,,,,,,,
1705,K089396.000,T111486,Beaumont John d. 1731,London : printed for D. Browne at the Black Swan without Temple-Bar; J. Taylor at the Ship in,111772,AN Historical Physiological and Theological TREATISE OF SPIRITS Apparitions Witchcrafts and other Magical Practices.,,,,,,,,
1787,K092165.001,T115132,Berkeley George Monck 1763-1793,London : printed for C. Elliot T. Kay and Co. No 332 opposite Somerset-House Strand London;,12305,SPANISH MEMOIRS; IN A SERIES OF ORIGINAL LETTERS. CONTAINING THE HISTORY OF DONNA ISABELLA DELLA VILLAREA NIECE TO DON JOHN TWENTIETH AND LAST DUKE OF ARANDINA.,,,,,,,,
1787,K092165.002,T115132,Berkeley George Monck 1763-1793,London : printed for C. Elliot T. Kay and Co. No 332 opposite Somerset-House Strand London;,10088,SPANISH MEMOIRS; IN A SERIES OF ORIGINAL LETTERS. CONTAINING THE HISTORY OF DONNA ISABELLA DELLA VILLAREA NIECE TO DON JOHN TWENTIETH AND LAST DUKE OF ARANDINA.,,,,,,,,
1780,K097310.001,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,121960,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1780,K097310.002,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,114850,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1780,K097310.003,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,125740,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1780,K097310.004,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,83081,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1780,K097310.008,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,82522,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1780,K097310.009,T121678,Buffon Georges Louis Leclerc comte de 1707-1788,Edinburgh : printed for William Creech,91329,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,,,,,,,
1735,K097994.000,T122535,Robins Benjamin 1707-1751,London : printed for W. Innys and R. Manby at the West-End of St. Paul's-Church-Yard,14973,A DISCOURSE Concerning the NATURE and CERTAINTY OF Sir ISAAC NEWTON'S METHODS OF FLUXIONS AND OF PRIME and ULTIMATE RATIOS.,,,,,,,,
1752,K106011.000,T133796,Moxon Elizabeth,Leedes : printed by James Lister; and sold by the author at Pontefract and J. Swale Bookseller,57490,English Housewifry. EXEMPLIFIED In above four Hundred and Fifty RECEIPTS Giving DIRECTIONS in most Parts of COOKERY; and how to prepare various Sorts of SOOPSMADE-DISHESPASTSPICKLESCAKESCREAMSJELLIESMADE-WINES &amp;c With CUTS for the orderly placing the DISHES and COURSES; also Bills of Fare for every Month in the Year; and an Alphabetical INDEX of the Whole.,,,,,,,,
1703,K107624.000,T136130,Moxon Joseph 1627-1691,London : printed for Dan. Midwinter and Tho. Leigh at the Rose and Crown in St. Paul's-Church-Y,95013,Mechanick Exercises: OR THE DOCTRINE OF HANDY-WORKS.Mechanick Dyalling: TEACHING Any Man tho' of an Ordinary Capacity and unlearned in the Mathematicks To Draw a True SUN-DYAL ON ANY GIVEN PLANE However Scituated: Only with the help of a straight Rule and a pair of Compasses; and without any Arithmetical Calculation.,,,,,,,,
1764,K107868.000,T136478,Rousseau Jean-Jacques 1712-1778,London : printed for T. Becket and P. A. de Hondt in the Strand,48324,A TREATISE ON THE SOCIAL COMPACT; OR The PRINCIPLES of POLITIC LAW.,,,,,,,,
1759,K111361.000,T141578,Smith Adam 1723-1790,London : printed for A. Millar in the Strand; and A. Kincaid and J. Bell in Edinburgh,101620,THE THEORY OF MORAL SENTIMENTS.,,,,,,,,
1701,K111587.000,T142557,Belloste Augustin 1654-1730,London : printed for Tho. Cockerill at the Three Legs and Bible in the Poultry; and Ralph Smith,67760,THE Hospital-Surgeon: OR A New Gentle and Easie Way to Cure speedily all Sorts of Wounds and other Diseases belonging to SURGERY.,,,,,,,,
1710,K113132.000,T145427,Davies John 1567-1644,[Shrewsbury] : Printiedig yn y Mwythig gan T. James dros D. Lewys,11553,FLORES OETARUM BRITANNICORUM Sef Blodeuog waith y Prydyddion Bryttannaidd.,,,,,,,,
1745,K121980.000,T179880,Langley Gilbert,London : printed by J. Webb opposite the Queen's-Head near the Sessions-House in the Old-Baily,35807,THE LIFE And SURPRIZING ADVENTURES OF GILBERT LANGLEY Formerly of Serle-Street near Lincoln's-Inn Goldsmith and Jeweller and afterwards a notorious Sharper and Gamester; having ran away to Holland with upwards of Twenty Thousand Pounds of his Creditors Money.,,,,,,,,
1777,K123515.000,T185045,Watts Isaac 1674-1748,London : printed for J. Buckland; J. F. and C. Rivington; T. Longman; W. Fenner; T. Field; and E,7735,DIVINE SONGS ATTEMPTED IN EASY LANGUAGE FOR THE USE OF CHILDREN.,,,,,,,,
1775,K124613.000,T188738,Great Britain. Sovereign (1760-1820 : George III),[London,1030,His MAJESTY's most Gracious SPEECH to both Houses of Parliament on Thursday the 26th of October 1775.,,,,,,,,
1795,K130910.000,T222842,Taylor Margaret Mrs,London : printed for W. Lane Leadenhall-Street and sold by all other booksellers,43607,Mrs. TAYLOR's Family Companion; OR THE WHOLE ART OF COOKERY DISPLAY'D In the newest and most easy Method Being a Collection of Receipts to SET OUT A TABLE CHEAP Under the following Heads: BOILINGROASTINGFRYINGBROILINGSTEWINGHASHINGBAKINGRAGOUTSFRICASSEESMADE-DISHESSAUCESSOUPSPUDDINGSPIESTARTSCAKESCHEESECAKESCUSTARDSSYLLABUBSCREAMSJELLISPICKLINGPRESERVINGCANDYINGCOLLARINGPOTTINGDRYING &amp;c.FielHCP,,,,,,,,
1705,K000152.000,N260,Congreve William 1670-1729,London : printed for J. Tonson,307,PROLOGUE TO THE COURT; On the QUEEN's Birth-Day 1704.,,,,,,,,
1741,K000268.000,N462,Duck Stephen 1705-1756,London : printed for J. Roberts  in Warwick-Lane ; and R. Dodsley in Pall-Mall,2259,Every Man in his Own Way.,,,,,,,,
1741,K000379.000,N628,Duck Stephen 1705-1756,London : printed for J. Roberts  in Warwick-Lane ; and R. Dodsley in Pall-Mall,870,HINTS TO A SCHOOL-MASTER. Address'd to the Revd. Dr. TURNBULL.,,,,,,,,
1712,K000637.000,N1034,Arbuthnot John 1667-1735,London : printed for John Morphew near Stationer's-Hall,10423,JOHN BULL Still In His SENSES: BEING THE THIRD PART OF Law is a Bottomless-Pit.,,,,,,,,
1730,K000691.000,N1125,Fielding Henry 1707-1754,London : printed for J. Watts at the Printing-Office in Wild-Court near Lincoln's-Inn Fields,22228,THE Coffee-House Politician; OR THE JUSTICE Caught in his own TRAP.,,,,,,,,
1710,K001048.000,N1651,Defoe Daniel 1661?-1731,Oxford [i.e.London?] : printed in the year,524,An ANSWER To The Tale of a Nettle.,,,,,,,,
1705,K001310.000,N2029,Defoe Daniel 1661?-1731,London : printed: and are to be sold by Benj. Bragg at the Blue-Ball in Ave-Mary-Lane,7439,ADVICE TO ALL PARTIES.,,,,,,,,
1762,K001334.001,N2062,Goldsmith Oliver 1728-1774,Dublin : printed for George and Alex. Ewing,73694,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,,,,,,,,
1705,K001439.000,N2191,Defoe Daniel 1661?-1731,[London : printed in the year,2096,AN ANSWER TO THE Ld Hsham's SPEECH.,,,,,,,,
1726,K002464.000,N3841,Spence Joseph 1699-1768,[London] : Printed for James and J. Knapton R. Knaplock W. and J. Innys J. Wyatt D. Midwinte,73076,AN ESSAY ON Pope's ODYSSEY: IN WHICH Some particular Beauties and Blemishes of that Work are consider'd.,,,,,,,,
1784,K002808.000,N4372,Berkeley George Monck 1763-1793,London : printed for T. Cadell  London ; and C. Elliot Edinburgh,10377,MARIA; OR THE GENEROUS RUSTIC.,,,,,,,,
1795,K002919.000,N4546,Hume David 1711-1776,[Edinburgh?,528,LETTER FROM DAVID HUME ESQ. TO THE AUTHOR OF THE DELINEATION OF THE NATURE AND OBLIGATION OF MORALITY.,,,,,,,,
1766,K003059.000,N4778,Garrick David 1717-1779,Dublin : printed for W. and W. Smith J. Hoey Sen. J Murphy W. Whitestone H. Saunders D. Cha,19921,THE COUNTRY GIRL A COMEDY (Altered from WYCHERLEY) As it is ACTED at the Theatre-Royal in Drury-Lane.,,,,,,,,
1794,K004299.000,N7154,Darwin Erasmus 1731-1802,London : printed for F. and C. Rivington; and J. Cooke Oxford,2527,THE GOLDEN AGE A POETICAL EPISTLE FROM ERASMUS DN M. D. TO THOMAS BEDDOES M. D.,,,,,,,,
1760,K004461.000,N7474,Gerard Alexander 1728-1795,Aberdeen : printed by J. Chalmers; and sold by And. Millar London; A. Kincaid and J. Bell in Ed,26944,The Influence of the Pastoral Office on the Character examined; with a view especially to Mr. HUME's representation of the spirit of that office.,,,,,,,,
1735,K007021.000,N11675,Duck Stephen 1705-1756,London : printed for J. Jackson in Pallmall; and T. Cooper in Pater Noster-Row: Where may be had,442,A POEM ON HER Majesty's Birth-Day.,,,,,,,,
1734,K007022.000,N11676,Duck Stephen 1705-1756,London : printed for Weaver Bickerton at Lord Bacon's Head without Temple-Bar,1677,A POEM On the Marriage of His SERENE HIGHNESS the PRINCE of ORANGE WITH ANN Princess-Royal of GREAT BRITAIN.,,,,,,,,
1737,K007618.000,N12461,Shenstone William 1714-1763,Oxford : printed by Leon Lichfield,9124,POEMS UPON Various Occasions.,,,,,,,,
1723,K007722.000,N12607,Dennis John 1657-1734,London : printed for T. Warner at the Black-Boy in Pater-Noster-Row,12899,REMARKS ON A PLAY CALL'D The Conscious Lovers A COMEDY.,,,,,,,,
1701,K007986.001,N12956,Aulnoy Madame d' (Marie-Catherine) 1650 or 51-1705,London : printed for D. Brown without Temple-Bar T. Horn at the Royal Exchange T. Bennet in St,57135,MEMOIRS OF THE PRESENT STATE OF THE Court and Councils OF SPAIN.,,,,,,,,
1701,K007986.002,N12956,Aulnoy Madame d' (Marie-Catherine) 1650 or 51-1705,London : printed for D. Brown without Temple-Bar T. Horn at the Royal Exchange T. Bennet in St,56618,ACCOUNT OF THE Court of SPAIN.,,,,,,,,
1730,K008077.000,N13061,Duck Stephen 1705-1756,London : printed and sold by W. Harris at the Blue Ball next Door to the Rose Tavern without,908,ROYAL BENEVOLENCE.,,,,,,,,
1752,K008295.001,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,55759,THE RAMBLER.,,,,,,,,
1752,K008295.002,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,54118,THE RAMBLER.,,,,,,,,
1752,K008295.003,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,44878,THE RAMBLER.,,,,,,,,
1752,K008295.004,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,55123,THE RAMBLER.,,,,,,,,
1752,K008295.005,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,51899,THE RAMBLER.,,,,,,,,
1752,K008295.006,N13484,Johnson Samuel 1709-1784,London : printed for J. Payne and J. Bouquet in Pater-Noster-Row,58161,THE RAMBLER.,,,,,,,,
1797,K008591.000,N13888,Garrick David 1717-1779,[Twickenham : printed at the Strawberry Hill Press by Thomas Kirgate,167,TO Mr. GRAY ON HIS ODES.,,,,,,,,
1716,K009299.000,N14837,Defoe Daniel 1661?-1731,London : printed: and sold by J. Baker at the Black-Boy in Pater-Noster-Row,7400,THE CONDUCT Of some PEOPLE ABOUT Pleading Guilty. With some REASONS Why it was not thought proper to shew MERCY to some who desir'd it.,,,,,,,,
1789,K009421.000,N14983,Radcliffe Ann Ward 1764-1823,London : printed for T. Hookham New Bond-Street,43810,THE CASTLES OF ATHLIN AND DUNBAYNE. A HIGHLAND STORY.,,,,,,,,
1715,K009614.000,N15260,,London : printed and sold by S. Keimer at the Printing-Press in Pater-Noster-Row,6220,Burnet and Bradbury OR THE CONFEDERACY OF THE Press and the Pulpit FOR THE BLOOD OF THE Last MINISTRY.,,,,,,,,
1719,K009674.000,N15350,Defoe Daniel 1661?-1731,London : printed for W. Boreham at the Angel in Pater-Noster-Row,7776,A brief State of the Question Between the Printed and Painted CALLICOES AND THE Woollen and Silk MANUFACTURE As far as it Relates to the Wearing and Using of Printed and Painted CALLICOES in Great-Britain.,,,,,,,,
1711,K009959.000,N15849,Defoe Daniel 1661?-1731,[London] : Printed in the north and reprinted at London and sold by J. Baker,4543,THE British Visions: OR ISAAC BICKERSTAFF Sen.,,,,,,,,
1744,K011519.000,N19354,Pope Alexander 1688-1744,London : printed for A. Dodd at the Peacock without Temple-Bar,1230,THE LAST WILL AND TESTAMENT OF ALEXANDER POPE of TWICKENHAM Esq,,,,,,,,
1717,K012749.000,N21770,Law William 1686-1761,London : printed for W. Innys at the Prince's Arms in St. Paul's Church-Yard,25733,A SECOND LETTER TO THE Bishop of BANGOR; Wherein his Lordship's NOTIONS OF Benediction Absolution and Church-Communion Are prov'd to be Destructive of every Institution of the Christian Religion.,,,,,,,,
1738,K014201.000,N24849,Pope Alexander 1688-1744,Dublin : printed by and for J. Jones in Clarendon-Street opposite to Coppinger's-Lane,1496,THE SIXTH EPISTLE OF THE FIRST BOOK OF HORACE,,,,,,,,
1749,K014395.000,N25290,Berkeley George 1685-1753,Dublin : printed by George Faulkner in Essex-Street,5683,A Word to the Wise: OR AN EXHORTATION TO THE ROMAN CATHOLIC Clergy OF IRELAND. BY A Member of the Established Church.,,,,,,,,
1788,K014927.000,N26630,Sheridan Richard Brinsley 1751-1816,London : printed for C. Foster Poultry; and sold by the booksellers in Piccadilly,17648,THE CELEBRATED SPEECH OF RICHARD BRINSLEY SHERIDAN Esq IN WESTMINSTER-HALL ON THE 3d 6th 10th and 13th of JUNE 1788 ON HIS SUMMING UP THE EVIDENCE ON THE BEGUM CHARGE AGAINST WARREN HASTINGS ESQUIRE.,,,,,,,,
1754,K014946.000,N26683,Pope Alexander 1688-1744,Glasgow : printed by R. Urie,14530,MORAL ESSAYS IN FOUR EPISTLES.,,,,,,,,
1728,K016442.000,N32854,Gay John 1685-1732,Dublin : printed by S. Powell for George Risk George Ewing and William Smith Booksellers in,17434,THE BEGGAR's OPERA.,,,,,,,,
1724,K016468.000,N32941,Aulnoy Madame d' (Marie-Catherine) 1650 or 51-1705,London : printed for J. Peele at Locke's Head in Pater-Noster-Row,94067,THE HISTORY OF JOHN of BOURBON Prince of CARENCY. CONTAINING A Variety of entertaining NOVELS VIZ.1. The Surprize or the Generous Unknown.2. The Mutual Mistake or The Unhappy Discovery.3. The Secret Rival or the Deceitful Friend.4. The Perfidious Lady disappointed or the Happy Reconciliation.5. The Slighted Passion or the Fatal Resentment.6. The Unfortunate Lover.7. The Female Captives.8. The Distressed Lovers.9. The Revengeful Rival.10. The Happy Meeting or Constant Love Rewarded.,,,,,,,,
